pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id_1,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,barrel
CH,2017-06-14,82.5,-2.2184,5.6057,Mike Moustakas,519058,456501,home_run,hit_into_play_score,NA,NA,NA,NA,7,Mike Moustakas homers (18) on a fly ball to right center field.,R,L,R,SF,KC,X,NA,fly_ball,3,2,2017,-0.7138,0.9225,-0.4367,1.6374,NA,NA,NA,0,2,Top,222.47,50.82,NA,NA,457763,NA,170614_200119,5.2643,-119.6837,-4.1646,-7.6,21.5279,-23.0761,3.2572,1.4107,415,105.5,29.945,81.054,1365,5.318,491082,456501,457763,474832,605412,456488,543063,596103,452655,452254,55.1826,0.922,1.852,2,1,0,3,6,8,7,Changeup,0,0,0,0,0,0,0,0,Strategic,Standard,1
CH,2017-06-14,84.4,-2.3834,5.4471,Eric Thames,519346,502190,home_run,hit_into_play_score,NA,NA,NA,NA,8,Eric Thames homers (17) on a line drive to right field.    Eric Sogard scores.,R,L,R,STL,MIL,X,NA,line_drive,1,2,2017,-1.2309,0.3151,-0.1011,1.6973,NA,NA,519299,0,1,Top,204.4,48.15,NA,NA,425877,NA,170615_001929,7.4697,-122.4303,-2.9152,-13.3482,22.5415,-28.826,3.4807,1.2975,411,102.8,25.743,82.814,1871,5.24,491084,502190,425877,572761,543939,576397,649557,500874,451594,572039,55.2477,0.909,1.706,2,1,0,3,6,2,4,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,1
CU,2017-06-14,78.8,-1.905,6.1078,Ian Happ,664023,518774,home_run,hit_into_play_score,NA,NA,NA,NA,4,Ian Happ homers (7) on a fly ball to right center field.,R,L,R,NYM,CHC,X,NA,fly_ball,2,2,2017,-0.0285,-0.6311,-0.6853,2.4213,NA,NA,NA,0,1,Top,185.63,34.97,NA,NA,518595,NA,170614_231259,2.6639,-114.5548,-0.0786,-0.726,20.6898,-37.8327,3.5173,1.2958,411,101.5,26.302,77.856,2371,5.619,491079,518774,518595,608061,435522,527038,408314,434158,501571,457803,54.8805,0.829,1.58,2,1,0,3,6,2,6,Curveball,0,1,1,0,1,0,1,0,Standard,Standard,1
SL,2017-06-14,83.7,-0.9866,6.6276,Mitch Haniger,571745,429722,home_run,hit_into_play_score,NA,NA,NA,NA,3,Mitch Haniger homers (5) on a fly ball to left field.   Ben Gamel scores.,R,R,R,MIN,SEA,X,NA,fly_ball,1,1,2017,0.6598,0.8381,0.4174,2.8109,NA,NA,592325,0,1,Top,33.68,69.57,NA,NA,488771,NA,170615_001241,1.9515,-121.5889,-3.9579,6.0443,22.8778,-23.5245,3.1704,1.2714,374,94.2,27.037,82.774,2306,5.667,491087,429722,488771,408045,572821,593934,500871,592696,621439,596146,54.8301,0.24,0.382,2,1,0,3,3,2,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,0
FT,2017-06-14,90.5,-2.1541,5.9018,Jose Peraza,606299,468504,home_run,hit_into_play_score,NA,NA,NA,NA,4,Jose Peraza homers (3) on a fly ball to left center field.,R,R,R,SD,CIN,X,NA,fly_ball,1,0,2017,-1.4244,1.1954,-0.3672,2.4961,NA,NA,NA,0,1,Top,24.48,68.06,NA,NA,620443,NA,170614_194301,7.2494,-131.4055,-4.9953,-17.4978,23.943,-17.9106,3.371,1.535,389,101.8,25.62,89.511,2108,5.483,491080,468504,620443,571976,500208,605486,430947,517369,614173,592669,55.0157,0.829,1.58,2,1,0,3,6,1,2,2-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,1
FT,2017-06-14,94.2,-1.7872,6.1275,Anthony Rizzo,519203,518774,home_run,hit_into_play_score,NA,NA,NA,NA,1,Anthony Rizzo homers (15) on a fly ball to center field.,R,L,R,NYM,CHC,X,NA,fly_ball,0,0,2017,-1.3569,1.2485,-0.4349,3.4691,NA,NA,NA,0,1,Top,97.22,25.75,NA,NA,518595,NA,170614_231046,6.3852,-136.6113,-3.8178,-18.1343,31.5079,-16.2113,3.4506,1.562,414,102.9,29.494,93.036,2232,5.886,491079,518774,518595,608061,435522,527038,408314,434158,501571,457803,54.6135,0.868,1.721,2,1,0,3,6,1,1,2-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,1
FF,2017-06-13,95.2,-2.3417,5.8757,Lucas Duda,446263,570240,home_run,hit_into_play_score,NA,NA,NA,NA,4,Lucas Duda homers (11) on a fly ball to right center field.,R,L,R,NYM,CHC,X,NA,fly_ball,2,1,2017,-1.1551,1.2339,-0.5379,2.8106,NA,NA,NA,1,9,Bot,166.51,37.84,NA,NA,656941,NA,170614_021444,7.3518,-138.1381,-5.1601,-16.5472,31.1518,-15.3102,3.6545,1.7303,392,102.8,22.592,95.387,2161,6.574,491063,570240,656941,575929,664023,595879,608365,445055,546991,518792,53.9251,0.87,1.495,2,1,0,3,6,82,4,4-Seam Fastball,2,14,2,14,14,2,2,14,Infield shift,Standard,1
SL,2017-06-13,81.6,-2.4702,5.9865,Neil Walker,435522,570240,home_run,hit_into_play_score,NA,NA,NA,NA,5,Neil Walker homers (9) on a fly ball to center field.,R,L,R,NYM,CHC,X,NA,fly_ball,1,1,2017,0.1245,-0.4423,-0.2421,2.7161,NA,NA,NA,1,9,Bot,121.03,19.56,NA,NA,656941,NA,170614_021311,4.7079,-118.5713,0.0081,0.2994,21.3611,-36.4922,3.4668,1.5973,423,104.1,23.466,80.603,2733,5.552,491063,570240,656941,575929,664023,595879,608365,445055,546991,518792,54.948,0.913,1.671,2,1,0,3,6,81,3,Slider,1,14,1,14,14,1,1,14,Strategic,Standard,1
FF,2017-06-13,93.4,-2.0854,6.0125,Daniel Robertson,543706,501822,home_run,hit_into_play_score,NA,NA,NA,NA,1,Daniel Robertson homers (1) on a line drive to left field.   Bradley Zimmer scores.    Lonnie Chisenhall scores.,R,R,R,CLE,LAD,X,NA,line_drive,2,2,2017,-0.4355,1.6492,-0.6885,2.8726,605548,502082,NA,2,9,Bot,26.36,82.13,NA,NA,518735,NA,170614_023227,4.4389,-135.4745,-5.7246,-6.159,28.6149,-11.44,3.1883,1.2991,377,96.6,29.083,91.932,2294,5.506,491067,501822,518735,641355,523253,457759,608369,621035,592626,624577,54.9937,0.436,0.8,2,1,0,3,5,80,6,4-Seam Fastball,2,7,2,7,7,2,2,7,Standard,Standard,0
CH,2017-06-13,84.4,1.9346,4.7923,Javier Baez,595879,572831,home_run,hit_into_play_score,NA,NA,NA,NA,8,Javier Baez homers (10) on a fly ball to left center field.   Albert Almora Jr.   scores.,R,R,L,NYM,CHC,X,NA,fly_ball,3,2,2017,1.0718,0.1721,0.0788,2.0945,NA,546991,NA,0,9,Top,65.57,45.64,NA,NA,518595,NA,170614_020451,-6.3812,-122.6684,-0.2854,11.9493,22.6454,-30.6047,3.3886,1.5391,386,98.1,29.744,84.212,1799,6.078,491063,572831,518595,446263,435522,527038,408314,434158,501571,457803,54.4219,0.477,0.883,2,1,0,3,6,76,8,Changeup,1,12,12,1,12,1,12,1,Standard,Standard,1
